planet_radius,Period(Days),host_star_id,planet_name
1.67,115,S286377115,Planet_1
1.5699999999999998,87,S51269322,Planet_2
3.1699999999999995,19,S25908841,Planet_3
2.5699999999999994,47,S357307559,Planet_4
2.5699999999999994,307,S412016542,Planet_5
0.67,622,S270298604,Planet_6
2.5699999999999994,174,S29646757,Planet_7
0.67,53,S75160399,Planet_8
1.87,74,S464838615,Planet_9
3.27,21,S248024345,Planet_10
1.7699999999999996,128,S437261155,Planet_11
2.5699999999999994,34,S307624961,Planet_12
0.67,503,S200729521,Planet_13
0.77,229,S355127594,Planet_14
1.67,25,S288634843,Planet_15
0.77,251,S142875660,Planet_16
5.869999999999999,340,S306996324,Planet_17
1.7699999999999996,12,S7445600,Planet_18
2.5699999999999994,221,S350708370,Planet_19
12.169999999999998,213,S178952975,Planet_20
0.97,98,S1731874032,Planet_21
1.17,280,S13065840,Planet_22
0.77,563,S289529778,Planet_23
1.17,374,S248391508,Planet_24
0.77,441,S58532199,Planet_25
1.97,156,S249076418,Planet_26
1.67,528,S115869504,Planet_27
1.37,25,S93927410,Planet_28
3.1699999999999995,236,Snan,Planet_29
1.17,53,S252077943,Planet_30
0.67,231,S288470970,Planet_31
1.17,418,S151956235,Planet_32
3.1699999999999995,260,S67991192,Planet_33
2.869999999999999,25,S161356637,Planet_34
1.4699999999999998,470,S96243247,Planet_35
2.9699999999999998,235,Snan,Planet_36
1.67,228,S306735869,Planet_37
1.4699999999999998,144,S9697711,Planet_38
1.4699999999999998,467,S439410069,Planet_39
0.97,21,S191816337,Planet_40
2.9699999999999998,370,S428238233,Planet_41
1.27,10,S252979494,Planet_42
2.27,384,S270468256,Planet_43
2.37,112,S303704858,Planet_44
1.27,77,S422046037,Planet_45
3.369999999999999,204,S66437824,Planet_46
7.369999999999998,168,S283816776,Planet_47
1.97,504,S5362024,Planet_48
2.37,90,S24910401,Planet_49
1.67,341,S333113604,Planet_50
0.67,118,S282812620,Planet_51
0.67,443,S288422718,Planet_52
0.77,138,S50587969,Planet_53
5.569999999999999,638,S121215012,Planet_54
2.37,577,S248409489,Planet_55
1.27,302,S201426753,Planet_56
1.37,19,S283226254,Planet_57
1.67,405,S47346402,Planet_58
3.5699999999999994,44,S160184067,Planet_59
1.17,75,S197597426,Planet_60
8.069999999999999,61,S123290240,Planet_61
1.17,176,S246941391,Planet_62
5.469999999999999,367,S437886584,Planet_63
2.07,18,S273864083,Planet_64
1.4699999999999998,238,S143203922,Planet_65
0.87,67,S318339281,Planet_66
0.67,393,S282750542,Planet_67
3.869999999999999,134,S317019578,Planet_68
2.27,16,S66100263,Planet_69
3.369999999999999,50,Snan,Planet_70
0.97,39,S332678520,Planet_71
0.67,54,S441493794,Planet_72
1.4699999999999998,295,S326395505,Planet_73
0.87,12,S160991902,Planet_74
12.169999999999998,299,S1121747913,Planet_75
12.169999999999998,541,S264899051,Planet_76
5.969999999999999,162,S87195695,Planet_77
0.67,35,S115242300,Planet_78
2.07,67,S19028197,Planet_79
0.77,74,S233573905,Planet_80
0.67,53,S259737046,Planet_81
0.67,10,S173166307,Planet_82
0.67,567,S447061717,Planet_83
1.0699999999999998,15,S398975486,Planet_84
3.0699999999999994,264,S356322721,Planet_85
1.17,361,S423299828,Planet_86
1.5699999999999998,135,S33911269,Planet_87
0.67,17,S309765388,Planet_88
2.07,62,S204325307,Planet_89
0.87,69,S52121469,Planet_90
3.0699999999999994,102,S17540944,Planet_91
1.27,34,S408190069,Planet_92
0.77,552,S6677241,Planet_93
3.1699999999999995,384,S297138738,Planet_94
1.87,55,S44577693,Planet_95
2.1699999999999995,72,S422844595,Planet_96
1.87,169,S286514113,Planet_97
1.87,460,S950715112,Planet_98
1.4699999999999998,379,S418175966,Planet_99
1.7699999999999996,416,S55033145,Planet_100
2.9699999999999998,223,S124494439,Planet_101
1.17,11,S471011145,Planet_102
1.37,23,S461191499,Planet_103
0.87,351,S234517584,Planet_104
0.97,483,S93137389,Planet_105
1.67,37,S259187680,Planet_106
0.67,204,S459826435,Planet_107
1.5699999999999998,621,S238949177,Planet_108
1.17,40,S177927950,Planet_109
1.17,105,S256873400,Planet_110
1.0699999999999998,393,S421734420,Planet_111
1.27,190,S20931913,Planet_112
3.1699999999999995,463,S59476871,Planet_113
0.97,22,S357336603,Planet_114
2.1699999999999995,143,S123587038,Planet_115
1.67,74,S202680983,Planet_116
0.77,39,S9440485,Planet_117
0.97,195,S217331269,Planet_118
0.67,78,S167756732,Planet_119
2.07,557,S338930194,Planet_120
1.67,176,S397587084,Planet_121
0.97,464,S300443029,Planet_122
1.17,26,S332286707,Planet_123
1.0699999999999998,39,S220022156,Planet_124
0.97,187,S423088367,Planet_125
0.77,250,S467729221,Planet_126
1.27,623,S125936106,Planet_127
4.27,311,S271478281,Planet_128
6.069999999999999,532,S258395472,Planet_129
0.67,18,S219777482,Planet_130
0.97,245,S169795412,Planet_131
1.17,26,S459178527,Planet_132
0.87,13,S167756732,Planet_133
1.0699999999999998,633,S378726164,Planet_134
1.67,10,S436883712,Planet_135
1.97,273,S126387245,Planet_136
0.77,560,S391948920,Planet_137
1.97,12,S416882160,Planet_138
1.97,423,S20204058,Planet_139
2.77,11,S315365617,Planet_140
2.9699999999999998,61,S4746245,Planet_141
3.27,71,S258061897,Planet_142
0.87,593,S233573905,Planet_143
0.77,55,S197623112,Planet_144
1.27,312,S387213113,Planet_145
1.37,257,S159525932,Planet_146
1.0699999999999998,390,S244041508,Planet_147
0.67,338,S240682712,Planet_148
2.869999999999999,524,S224431102,Planet_149
14.469999999999995,174,S247372926,Planet_150
0.67,14,S55745883,Planet_151
0.67,354,S24398701,Planet_152
2.07,30,S334747932,Planet_153
0.77,469,S99501428,Planet_154
1.0699999999999998,616,S405283107,Planet_155
3.869999999999999,406,S397983295,Planet_156
1.4699999999999998,128,S329574121,Planet_157
1.17,15,S248854510,Planet_158
4.169999999999999,444,S286942673,Planet_159
3.27,627,S117979951,Planet_160
0.77,167,S69912980,Planet_161
1.7699999999999996,163,S372254618,Planet_162
3.0699999999999994,138,S117979951,Planet_163
0.67,88,S1674663309,Planet_164
0.67,193,S428988656,Planet_165
3.0699999999999994,564,S258473872,Planet_166
1.4699999999999998,178,S151006728,Planet_167
1.0699999999999998,27,S20416870,Planet_168
1.37,117,S286514113,Planet_169
2.1699999999999995,26,S206327797,Planet_170
0.77,592,S212376204,Planet_171
1.5699999999999998,131,S204291254,Planet_172
1.0699999999999998,168,S390730327,Planet_173
0.87,273,S708973,Planet_174
9.669999999999998,593,S371477593,Planet_175
2.869999999999999,392,S48668374,Planet_176
5.569999999999999,599,S224288693,Planet_177
1.4699999999999998,175,S310381208,Planet_178
6.069999999999999,200,S217331269,Planet_179
2.07,37,S392983748,Planet_180
0.87,230,S269995013,Planet_181
2.1699999999999995,23,S233193964,Planet_182
3.869999999999999,41,S170500384,Planet_183
2.27,340,S58997854,Planet_184
3.0699999999999994,30,S3221826,Planet_185
3.4699999999999998,161,S412778373,Planet_186
3.27,430,S165096120,Planet_187
2.6699999999999995,132,S110220637,Planet_188
1.0699999999999998,56,S272575844,Planet_189
2.1699999999999995,115,S149248196,Planet_190
1.7699999999999996,501,S46125330,Planet_191
2.5699999999999994,69,S57393179,Planet_192
3.669999999999999,549,S428657118,Planet_193
0.97,37,S471012023,Planet_194
2.5699999999999994,72,S44577692,Planet_195
1.37,565,S471015748,Planet_196
0.67,44,S365670764,Planet_197
2.869999999999999,46,S38840951,Planet_198
0.67,38,S392982986,Planet_199
1.67,593,S350708370,Planet_200
0.77,234,S76774212,Planet_201
2.27,242,S253011416,Planet_202
10.369999999999996,83,S415563103,Planet_203
2.9699999999999998,61,S422124638,Planet_204
1.37,248,S387744326,Planet_205
1.7699999999999996,53,S210119810,Planet_206
1.17,284,S283552260,Planet_207
0.67,110,S27965513,Planet_208
0.67,10,S156567991,Planet_209
5.369999999999999,271,S174060775,Planet_210
2.07,30,S192464657,Planet_211
1.17,212,S61110114,Planet_212
5.369999999999999,13,S175800228,Planet_213
2.869999999999999,74,S40082634,Planet_214
1.27,106,S293117088,Planet_215
0.97,29,S16909043,Planet_216
0.97,284,S390651552,Planet_217
1.37,150,S142780448,Planet_218
3.0699999999999994,277,S330736514,Planet_219
0.67,47,S392928034,Planet_220
1.17,11,S102885744,Planet_221
0.77,237,S88334764,Planet_222
3.669999999999999,431,S141274365,Planet_223
0.97,279,S220526731,Planet_224
3.369999999999999,17,S9150015,Planet_225
0.67,117,S202380743,Planet_226
3.1699999999999995,10,S106751922,Planet_227
4.069999999999999,45,S47423224,Planet_228
0.77,377,S6677241,Planet_229
1.17,621,S181741837,Planet_230
1.27,393,S148077721,Planet_231
0.67,20,S446193444,Planet_232
2.47,30,S237251983,Planet_233
2.1699999999999995,568,S352621507,Planet_234
10.969999999999995,258,S23189327,Planet_235
0.67,283,S18998800,Planet_236
6.269999999999999,462,S158569856,Planet_237
0.77,42,S64804337,Planet_238
1.97,112,S73486233,Planet_239
0.67,533,S16034007,Planet_240
1.0699999999999998,354,S419015728,Planet_241
2.9699999999999998,212,S448465432,Planet_242
3.0699999999999994,52,S341149986,Planet_243
6.169999999999999,45,S154220180,Planet_244
2.77,327,S191442042,Planet_245
2.27,211,S100481243,Planet_246
2.27,248,S29168887,Planet_247
1.97,88,S241655136,Planet_248
1.87,383,S328961501,Planet_249
1.5699999999999998,94,S445831895,Planet_250
2.37,350,S122958010,Planet_251
3.0699999999999994,638,S43085522,Planet_252
4.369999999999999,91,S113873448,Planet_253
0.97,191,S47346402,Planet_254
0.67,525,S67459023,Planet_255
0.77,12,S357501308,Planet_256
0.87,515,S33105293,Planet_257
12.269999999999998,50,S255563650,Planet_258
1.4699999999999998,463,S85320853,Planet_259
3.4699999999999998,522,S369021303,Planet_260
3.369999999999999,420,S255885414,Planet_261
0.67,111,S257715493,Planet_262
0.97,277,S308076910,Planet_263
6.369999999999998,93,S238813498,Planet_264
2.869999999999999,60,S307210830,Planet_265
1.5699999999999998,103,S9759680,Planet_266
2.07,15,S146438424,Planet_267
2.47,58,S26358020,Planet_268
1.17,542,S142591775,Planet_269
1.37,301,S229047482,Planet_270
1.37,132,S168873517,Planet_271
3.0699999999999994,148,S7445601,Planet_272
2.37,447,S450545735,Planet_273
2.9699999999999998,594,S270503578,Planet_274
6.569999999999999,386,S333870949,Planet_275
1.5699999999999998,410,S343335500,Planet_276
1.17,507,S422382572,Planet_277
2.1699999999999995,31,S404452681,Planet_278
2.47,100,S55399276,Planet_279
1.97,48,S415733167,Planet_280
1.37,135,S290348383,Planet_281
0.67,612,S272677626,Planet_282
0.67,10,S394632679,Planet_283
1.5699999999999998,257,Snan,Planet_284
2.27,12,S158084063,Planet_285
2.869999999999999,20,S126584063,Planet_286
3.669999999999999,213,S38704192,Planet_287
0.97,86,S62569281,Planet_288
2.6699999999999995,215,S348489282,Planet_289
2.9699999999999998,117,S146280976,Planet_290
1.0699999999999998,579,S900080356,Planet_291
1.87,67,S274626553,Planet_292
2.27,230,S237622598,Planet_293
1.0699999999999998,24,S192590404,Planet_294
2.77,638,S150905991,Planet_295
0.67,25,S95077478,Planet_296
2.47,17,S179323446,Planet_297
1.37,46,S106344480,Planet_298
1.87,96,S230073581,Planet_299
1.0699999999999998,58,S58338990,Planet_300
0.67,129,S392795974,Planet_301
0.67,80,S950715112,Planet_302
1.97,365,S314037933,Planet_303
0.87,37,S369327947,Planet_304
2.27,134,S47345026,Planet_305
1.5699999999999998,29,S70964316,Planet_306
12.269999999999998,424,S121286320,Planet_307
0.87,623,S22395594,Planet_308
0.87,179,S406941612,Planet_309
1.37,112,S342888849,Planet_310
1.0699999999999998,14,S396742365,Planet_311
1.37,38,S198084905,Planet_312
