planet_radius,Period(Days)
1.3699999999999999,330
7.769999999999999,31
1.3699999999999999,18
0.87,44
2.7699999999999996,175
1.27,15
3.2699999999999996,183
1.5699999999999998,57
1.27,10
3.0699999999999994,15
0.77,171
0.97,148
2.3699999999999997,28
16.47,404
1.0699999999999998,49
4.969999999999999,508
1.4699999999999998,125
1.4699999999999998,19
1.3699999999999999,10
0.97,147
0.87,631
3.1699999999999995,544
5.169999999999999,206
1.27,34
0.97,91
0.97,158
1.8699999999999997,41
2.07,134
2.1699999999999995,621
2.1699999999999995,82
2.1699999999999995,25
1.17,75
0.67,43
2.2699999999999996,285
1.17,638
0.77,68
1.17,451
1.17,536
11.469999999999997,558
3.1699999999999995,567
6.169999999999999,625
3.5699999999999994,438
0.77,21
0.67,398
1.17,447
0.87,30
3.0699999999999994,425
0.97,17
3.0699999999999994,562
0.97,17
1.7699999999999996,253
0.67,27
0.97,375
1.5699999999999998,218
1.3699999999999999,169
2.1699999999999995,19
1.5699999999999998,219
2.1699999999999995,325
0.77,633
4.069999999999999,632
1.4699999999999998,188
3.0699999999999994,469
1.17,29
1.3699999999999999,27
1.4699999999999998,16
1.17,199
1.3699999999999999,10
2.869999999999999,69
15.269999999999996,632
0.67,56
1.0699999999999998,86
0.77,154
1.0699999999999998,97
1.5699999999999998,277
3.1699999999999995,23
2.4699999999999998,108
2.869999999999999,15
1.3699999999999999,219
1.67,60
2.1699999999999995,363
1.67,242
1.67,549
1.5699999999999998,483
0.67,608
1.3699999999999999,109
0.67,19
2.3699999999999997,13
0.87,11
1.5699999999999998,72
1.17,51
1.7699999999999996,451
14.669999999999996,133
2.2699999999999996,435
2.07,10
5.669999999999999,270
0.87,27
3.2699999999999996,137
3.2699999999999996,473
0.87,354
0.77,40
0.77,206
3.0699999999999994,624
1.5699999999999998,40
1.8699999999999997,199
1.0699999999999998,19
5.269999999999999,516
2.6699999999999995,98
0.97,59
13.469999999999997,549
3.769999999999999,154
1.3699999999999999,159
2.869999999999999,11
2.869999999999999,16
0.77,64
0.97,469
1.5699999999999998,309
1.27,60
1.0699999999999998,399
8.269999999999998,161
0.97,454
2.5699999999999994,71
1.9699999999999998,225
4.469999999999999,499
0.67,30
1.3699999999999999,51
1.4699999999999998,164
1.3699999999999999,118
0.77,213
0.77,27
1.17,37
1.9699999999999998,28
4.769999999999999,34
