planet_radius,Period(Days),host_star_id,planet_name,contrast,planet_type,angular_separation,orbital_radius,eff_orbital_radius
3.5699999999999994,12,S201882747,Planet_1,1.6916313502368919e-06,neptunes,0.00017060982831352346,0.09113404088542672,0.01657763965927954
2.5699999999999994,31,S403085679,Planet_2,2.170927828881056e-07,neptunes,0.004847693084070554,0.20345776413229572,0.5004593597779879
0.67,123,S20096267,Planet_3,5.929508542383419e-10,mercuries,0.00795757069099347,0.44707191165153953,0.1473019037966697
3.1699999999999995,56,S203361362,Planet_4,1.0381590190755794e-07,neptunes,0.0017678315240809784,0.27856793957504894,0.28066047287557283
0.97,54,S457102860,Planet_5,4.921495487660485e-09,mercuries,0.0022369448229563713,0.27677113836585726,0.13201136998195265
1.37,110,S435285625,Planet_6,5.416696982358885e-09,mercuries,0.002479314774752632,0.32524089231960485,0.006758560786885724
1.0699999999999998,22,S440109725,Planet_7,1.0571275173722877e-08,mercuries,0.006806244805598938,0.11309316017690803,0.002699017915264259
1.27,204,S284120761,Planet_8,4.968387126258708e-09,frozen_planets,0.019409333373460277,0.7455611203032555,3.072533878733488
11.669999999999998,27,S264765942,Planet_9,2.435219674209097e-06,hot_jupiters,5.7285368543807523e-05,0.17671931362529314,0.17543284563261105
2.77,16,S411629521,Planet_10,4.736527431420198e-07,neptunes,0.0015607405808426241,0.12244673222204142,0.11855627802101344
0.87,22,S417117130,Planet_11,2.3653456866730258e-08,mercuries,0.0025344710927749045,0.1261616721150272,0.007265824793946795
0.67,191,S370281600,Planet_12,8.239012777416437e-11,mercuries,0.0027622448399251824,0.5304794759933675,0.027592088867692682
2.77,20,S388528650,Planet_13,2.9553070160187964e-07,neptunes,0.0015430905583076145,0.13536513291304902,0.05718296987853959
0.97,216,S137958028,Planet_14,6.107767065988733e-10,mercuries,0.01672971577002309,0.47348142786844155,0.005621543053691657
1.5699999999999998,115,S96745915,Planet_15,1.038639614133253e-08,neptunes,0.0013869281720446523,0.5136355166894006,2.2748466112233756
2.6699999999999995,117,S415705259,Planet_16,2.317130089054692e-08,neptunes,0.005955807838180477,0.43572954898469274,0.16141927737986314
0.97,298,S360079643,Planet_17,7.116770904083558e-10,mercuries,0.014768310251552442,0.7640178272472977,0.08126908610820162
0.67,13,S269995013,Planet_18,8.662783963527589e-08,venuses,0.007773460812725368,0.1195844029992903,0.4453388882145925
0.87,68,S213005294,Planet_19,5.914196073413833e-10,mercuries,0.00921838878529591,0.2473924273739181,0.00625532619050032
2.97,10,S455305421,Planet_20,4.505905045443198e-07,neptunes,0.0010462924582849615,0.09964580632328057,0.5775082315852681
0.87,354,S458385912,Planet_21,3.508881771343246e-10,mercuries,0.030610810001802474,0.803804013740118,0.03587861479532776
2.1699999999999995,56,S439403362,Planet_22,2.7480649874890925e-08,neptunes,0.05762410584023766,0.2732897463167323,0.00020174377814503988
1.87,55,S256997963,Planet_23,6.192828573676849e-08,neptunes,0.0044406815969855505,0.23547716728340679,0.018484916863513737
