planet_radius,Period(Days),host_star_id,planet_name
2.47,595,S112102305,Planet_1
8.569999999999999,19,S14297146,Planet_2
3.1699999999999995,20,S80256524,Planet_3
0.87,450,S372951475,Planet_4
0.87,95,S408956561,Planet_5
1.67,42,S316258792,Planet_6
1.0699999999999998,56,S247985094,Planet_7
0.77,322,S270262695,Planet_8
1.17,464,S9429367,Planet_9
2.869999999999999,11,S28043754,Planet_10
0.87,246,S407055622,Planet_11
1.5699999999999998,482,S165373460,Planet_12
1.87,218,S318567964,Planet_13
1.97,38,S319025953,Planet_14
0.87,36,S128882251,Planet_15
0.67,335,S297262361,Planet_16
6.469999999999999,78,S252487584,Planet_17
0.77,30,S158111591,Planet_18
2.27,170,S267688052,Planet_19
0.77,143,S394008846,Planet_20
1.5699999999999998,58,S418613663,Planet_21
4.469999999999999,343,S418786807,Planet_22
1.0699999999999998,274,S19970087,Planet_23
1.67,587,S393970919,Planet_24
2.77,100,S363838130,Planet_25
4.069999999999999,119,S414964448,Planet_26
4.969999999999999,136,S44453366,Planet_27
0.77,13,S98869475,Planet_28
0.67,154,S242092072,Planet_29
1.0699999999999998,598,S69550936,Planet_30
1.27,95,S29845542,Planet_31
1.0699999999999998,17,S147133612,Planet_32
0.77,342,S399588472,Planet_33
2.9699999999999998,18,S403282170,Planet_34
0.67,463,S229147927,Planet_35
2.77,45,S347832635,Planet_36
0.87,234,S298599660,Planet_37
2.47,387,S232065974,Planet_38
2.77,33,S193265875,Planet_39
0.67,456,S391095065,Planet_40
0.77,102,S358859777,Planet_41
3.369999999999999,206,S48014453,Planet_42
1.17,18,S456945485,Planet_43
0.67,318,S196500103,Planet_44
1.0699999999999998,262,S93716498,Planet_45
2.47,424,S144132551,Planet_46
2.07,114,S413946414,Planet_47
3.869999999999999,149,S43133318,Planet_48
0.77,126,S328677227,Planet_49
2.6699999999999995,182,S9475873,Planet_50
2.77,29,S138126906,Planet_51
1.5699999999999998,47,S146501718,Planet_52
1.67,29,S274827048,Planet_53
1.37,86,S62569281,Planet_54
0.67,58,S319482278,Planet_55
0.77,63,S12723924,Planet_56
0.67,80,S279509403,Planet_57
2.07,93,S43472394,Planet_58
1.5699999999999998,288,S196360688,Planet_59
4.469999999999999,28,S88846220,Planet_60
0.97,142,S238069953,Planet_61
0.67,501,S278867391,Planet_62
0.87,14,S439899389,Planet_63
5.269999999999999,489,S79390703,Planet_64
2.9699999999999998,126,S149667686,Planet_65
2.07,52,S367758676,Planet_66
3.4699999999999998,562,S187309694,Planet_67
2.9699999999999998,33,S165373457,Planet_68
1.67,292,S282283170,Planet_69
2.9699999999999998,105,S165977985,Planet_70
4.069999999999999,337,S207386596,Planet_71
0.77,72,S54906496,Planet_72
1.37,82,S310104035,Planet_73
3.0699999999999994,23,S152025971,Planet_74
0.67,17,S143857038,Planet_75
0.97,11,S38378634,Planet_76
0.77,127,S422505074,Planet_77
1.17,44,S349155285,Planet_78
6.069999999999999,48,S162494287,Planet_79
1.67,12,S392983748,Planet_80
2.37,125,S250470910,Planet_81
0.97,168,S409527090,Planet_82
1.5699999999999998,78,S114922178,Planet_83
1.0699999999999998,129,S72643856,Planet_84
1.97,58,S14392226,Planet_85
1.5699999999999998,155,S400734591,Planet_86
0.67,200,S185282173,Planet_87
0.97,69,S89396609,Planet_88
0.77,401,S165368344,Planet_89
1.5699999999999998,22,S17198787,Planet_90
11.469999999999995,21,S127427727,Planet_91
0.97,59,S268171869,Planet_92
1.17,506,S142591776,Planet_93
2.07,41,S248566767,Planet_94
0.77,16,S352621507,Planet_95
3.1699999999999995,61,S301425042,Planet_96
0.87,117,S200767510,Planet_97
0.67,126,S33946010,Planet_98
1.87,179,S229145550,Planet_99
0.67,34,S32360983,Planet_100
1.5699999999999998,400,S67168206,Planet_101
2.07,350,S240617731,Planet_102
0.87,50,S93088834,Planet_103
1.27,77,S106082589,Planet_104
1.17,63,S124234446,Planet_105
5.069999999999999,258,S198381449,Planet_106
3.669999999999999,42,S19113628,Planet_107
2.1699999999999995,106,S103919894,Planet_108
3.0699999999999994,16,S121156812,Planet_109
0.97,83,S245863716,Planet_110
4.069999999999999,601,S365768607,Planet_111
4.169999999999999,522,S289715844,Planet_112
1.17,51,S347299560,Planet_113
2.47,236,S383218397,Planet_114
4.069999999999999,574,S270479665,Planet_115
2.77,278,S416024319,Planet_116
2.07,229,S50283721,Planet_117
0.67,626,S100606047,Planet_118
0.87,15,S126275754,Planet_119
1.97,30,S4972033,Planet_120
0.77,41,S435246332,Planet_121
2.1699999999999995,193,S93156619,Planet_122
0.67,14,S119985828,Planet_123
2.1699999999999995,16,S441753021,Planet_124
0.97,15,S393970919,Planet_125
2.37,540,S453409619,Planet_126
0.97,57,S141765836,Planet_127
2.5699999999999994,337,S44440236,Planet_128
2.07,594,S422487889,Planet_129
3.27,58,S341105883,Planet_130
1.7699999999999996,303,S60879864,Planet_131
0.77,22,S45407161,Planet_132
0.97,366,S49038679,Planet_133
1.27,145,S421255607,Planet_134
2.07,31,S266997586,Planet_135
2.869999999999999,216,S118520296,Planet_136
1.5699999999999998,154,S51163909,Planet_137
1.5699999999999998,38,S153341493,Planet_138
1.0699999999999998,17,S364893926,Planet_139
2.07,363,S45775433,Planet_140
0.87,61,S263632641,Planet_141
5.869999999999999,318,S155463741,Planet_142
6.869999999999998,53,S256517649,Planet_143
4.669999999999999,302,S334918736,Planet_144
1.17,581,S2053972005,Planet_145
5.269999999999999,63,S324497887,Planet_146
8.069999999999999,548,S113798937,Planet_147
7.769999999999999,176,S121089579,Planet_148
3.27,107,S446430853,Planet_149
1.7699999999999996,65,S280793604,Planet_150
5.669999999999999,52,S366282510,Planet_151
2.37,23,S307770692,Planet_152
1.7699999999999996,366,S237185582,Planet_153
0.77,29,S355173317,Planet_154
1.97,147,S119147875,Planet_155
12.669999999999996,261,S240716832,Planet_156
0.77,330,S178645961,Planet_157
1.67,11,S439403362,Planet_158
2.5699999999999994,113,S319614743,Planet_159
2.37,30,S301481148,Planet_160
1.17,297,S101722543,Planet_161
1.0699999999999998,70,S21434293,Planet_162
2.9699999999999998,202,S309790097,Planet_163
4.669999999999999,12,S685301469,Planet_164
1.5699999999999998,135,S392928034,Planet_165
2.07,616,S347004237,Planet_166
2.37,101,S99054776,Planet_167
2.869999999999999,264,S357796122,Planet_168
1.17,46,S393970919,Planet_169
0.77,22,S105995278,Planet_170
0.67,100,S47346402,Planet_171
1.17,312,S245833065,Planet_172
0.77,184,S310090684,Planet_173
1.67,26,S3885864,Planet_174
0.87,524,S32203661,Planet_175
1.97,414,S120117606,Planet_176
0.67,202,S401701660,Planet_177
1.67,114,S347332240,Planet_178
1.67,333,S66606102,Planet_179
2.07,112,S380914106,Planet_180
2.47,242,S89042909,Planet_181
2.869999999999999,233,S257293333,Planet_182
0.97,487,S5718172,Planet_183
1.37,264,S119569832,Planet_184
7.669999999999998,148,S391897978,Planet_185
3.1699999999999995,76,S176843254,Planet_186
1.27,495,S120330054,Planet_187
0.87,45,S254003502,Planet_188
0.97,152,S147218591,Planet_189
1.7699999999999996,14,S4646810,Planet_190
2.1699999999999995,110,S95320727,Planet_191
1.0699999999999998,15,S95689188,Planet_192
6.869999999999998,589,S273209059,Planet_193
2.5699999999999994,57,S214550870,Planet_194
1.7699999999999996,42,S74828267,Planet_195
1.97,86,S376878158,Planet_196
0.97,128,S15551280,Planet_197
1.17,231,S173793940,Planet_198
2.6699999999999995,95,S405504412,Planet_199
0.67,29,S39516274,Planet_200
0.67,159,S439946126,Planet_201
2.37,141,S23228849,Planet_202
1.4699999999999998,252,S8484602,Planet_203
