planet_radius,Period(Days),host_star_id,planet_name,contrast,planet_type,angular_separation,orbital_radius
2.47,595,S112102305,Planet_1,1.390578301553711e-09,neptunes,0.003842452411398153,1.3704702234367057
8.569999999999999,19,S14297146,Planet_2,2.0850629699463357e-06,hot_jupiters,0.0012554122056735405,0.11056308173793122
3.1699999999999995,20,S80256524,Planet_3,6.319394015740842e-07,neptunes,0.004754642977963226,0.13205951743652347
0.87,450,S372951475,Planet_4,1.0044015401356595e-09,earths,0.0007027252887422099,0.9429113952272105
0.87,95,S408956561,Planet_5,4.757072326119757e-10,mercuries,0.009339961351554356,0.3770045256106388
1.67,42,S316258792,Planet_6,4.996972146565475e-08,neptunes,0.004532540722027932,0.22745591990392564
1.0699999999999998,56,S247985094,Planet_7,1.2448422461553293e-08,mercuries,0.014888545258558334,0.20848967626390622
0.77,322,S270262695,Planet_8,7.354581193617531e-10,earths,0.0008828972567536989,0.9828678754683968
1.17,464,S9429367,Planet_9,1.3581286882708285e-09,earths,0.0029639604803885196,0.9558119820334723
2.869999999999999,11,S28043754,Planet_10,1.0662821625738495e-06,neptunes,0.0006050140789315948,0.08872099706713904
0.87,246,S407055622,Planet_11,4.316107232380225e-09,venuses,0.01747563390557321,0.6178828723996391
1.5699999999999998,482,S165373460,Planet_12,1.4184089080917286e-09,neptunes,0.0067380501508678215,1.1518863661936365
1.87,218,S318567964,Planet_13,7.432431918245937e-09,neptunes,0.01068667370786434,0.6288420766163387
1.97,38,S319025953,Planet_14,1.4431747640303669e-07,neptunes,0.00011556692188808807,0.1906265718550181
0.87,36,S128882251,Planet_15,1.0202448651750006e-08,mercuries,0.0001953786947645973,0.17374352498572937
0.67,335,S297262361,Planet_16,2.6360761182905998e-09,venuses,0.02392074122030929,0.6013586296653252
6.469999999999999,78,S252487584,Planet_17,4.299798753738135e-07,hot_jupiters,0.010635456859285021,0.24854144472911308
0.77,30,S158111591,Planet_18,7.132436262476057e-09,mercuries,0.006615569146494832,0.20102925338719088
2.27,170,S267688052,Planet_19,3.107644557640291e-08,neptunes,0.014196804352827459,0.4517065711972499
0.77,143,S394008846,Planet_20,5.4721084625404576e-09,venuses,0.010727652759205045,0.47743163236378605
1.5699999999999998,58,S418613663,Planet_21,4.6712847641712006e-08,neptunes,0.006164652126634028,0.2668460002904669
4.469999999999999,343,S418786807,Planet_22,2.052472782802697e-08,neptunes,0.015587291917463022,0.7843897659647039
1.0699999999999998,274,S19970087,Planet_23,5.096958778579183e-09,venuses,0.015755689701478337,0.7770346382426305
1.67,587,S393970919,Planet_24,2.1778016766148036e-09,neptunes,0.02757265404953478,1.2666189517527218
2.77,100,S363838130,Planet_25,1.622664701517008e-07,neptunes,0.02204165155803237,0.2266458457536677
4.069999999999999,119,S414964448,Planet_26,6.611252454125114e-08,neptunes,0.011628867908978338,0.42436854769046994
4.969999999999999,136,S44453366,Planet_27,7.423910614151338e-08,neptunes,0.0002063020484789957,0.4595431896221204
0.77,13,S98869475,Planet_28,3.370327889706799e-08,mercuries,0.0017581937699524298,0.09275631072103381
0.67,154,S242092072,Planet_29,5.173239970130807e-09,venuses,0.008540216382692737,0.5114543410994297
1.0699999999999998,598,S69550936,Planet_30,7.78479776239161e-10,earths,0.02418993844705814,1.2859481387341165
1.27,95,S29845542,Planet_31,2.9178245174020656e-08,venuses,0.013508113203908774,0.4141394018696277
1.0699999999999998,17,S147133612,Planet_32,2.5779816435395106e-08,mercuries,0.0008702136614207528,0.10799180510431843
0.77,342,S399588472,Planet_33,4.57737331476566e-10,earths,0.020933857229036804,1.0694445054778217
2.97,18,S403282170,Planet_34,1.185841812771337e-06,neptunes,0.00222997076735905,0.09849631129093044
0.67,463,S229147927,Planet_35,4.5987921495761696e-10,earths,0.024006045041066428,0.9513998848755331
2.77,45,S347832635,Planet_36,1.2744606821556504e-07,neptunes,0.001380678355606586,0.22791570847564008
0.87,234,S298599660,Planet_37,7.965804225557638e-09,venuses,0.014383345771421066,0.5195417332914232
2.47,387,S232065974,Planet_38,6.535930387150601e-09,neptunes,0.012131701628772697,0.9048772521784995
2.77,33,S193265875,Planet_39,2.5876461303423143e-07,neptunes,0.004196423070818778,0.16489508570035963
0.67,456,S391095065,Planet_40,3.9339767244828826e-10,earths,0.015697809220332735,1.1339472878664225
0.77,102,S358859777,Planet_41,1.9053074876334227e-09,mercuries,0.00692156963464705,0.394951281188983
3.369999999999999,206,S48014453,Planet_42,3.606813298882202e-08,neptunes,0.013138609074068082,0.5867271691671654
1.17,18,S456945485,Planet_43,2.9104774920728942e-08,mercuries,0.00020555466624200497,0.12889376242362613
0.67,318,S196500103,Planet_44,2.218986634275536e-09,venuses,0.02224469199681794,0.678215424572769
1.0699999999999998,262,S93716498,Planet_45,8.70858698373214e-09,venuses,0.03347458240285584,0.6014034512473154
2.47,424,S144132551,Planet_46,4.841379568972648e-09,neptunes,0.022678503620588916,1.073858589983291
